Date,Category,Amount,Day of the Week,Description
2021-11-21 17:07:00,transportation,130.0,Unknown,Unknown
2021-11-21 15:50:00,food,875.0,Unknown,Unknown
2021-11-21 13:30:00,other,2000.0,Unknown,Unknown
2018-08-03 00:00:00,bills,-1360.0,Friday,Rent
2018-08-04 00:00:00,groceries,-117.89,Saturday,No Description
2018-08-04 00:00:00,merchandise,-34.27,Saturday,Makeup/Skin Care
2018-08-04 00:00:00,merchandise,-21.59,Saturday,Amazon
2018-08-05 00:00:00,merchandise,-10.79,Sunday,Amazon
2018-08-10 00:00:00,merchandise,-30.78,Friday,Amazon
2018-08-11 00:00:00,merchandise,-34.76,Saturday,Clothes
2018-08-12 00:00:00,merchandise,-12.54,Sunday,Amazon
2018-09-04 00:00:00,bills,-1360.0,Tuesday,Rent
2018-09-10 00:00:00,groceries,-122.52,Monday,No Description
2018-09-10 00:00:00,groceries,-50.0,Monday,No Description
2018-10-01 00:00:00,bills,-1380.0,Monday,Rent
2018-10-01 00:00:00,pharmacy,-9.1,Monday,No Description
2018-10-01 00:00:00,food,-7.72,Monday,No Description
2018-10-01 00:00:00,wire transfer,113.54,Monday,No Description
2018-10-02 00:00:00,merchandise,-55.1,Tuesday,Clothes
2018-10-02 00:00:00,merchandise,-36.38,Tuesday,Clothes
2018-10-03 00:00:00,merchandise,-23.8,Wednesday,Amazon
2018-10-04 00:00:00,groceries,-20.0,Thursday,No Description
2018-10-04 00:00:00,wire transfer,-15.0,Thursday,No Description
2018-10-04 00:00:00,wire transfer,7700.0,Thursday,No Description
2018-10-05 00:00:00,merchandise,-14.99,Friday,Amazon
2018-10-05 00:00:00,uber/lyft,-7.6,Friday,No Description
2018-10-06 00:00:00,merchandise,-9.8,Saturday,Best Buy
2018-10-09 00:00:00,food,-19.33,Tuesday,No Description
2018-10-09 00:00:00,wire transfer,-15.0,Tuesday,No Description
2018-10-09 00:00:00,uber/lyft,-7.6,Tuesday,No Description
2018-10-09 00:00:00,direct deposit,151.48,Tuesday,No Description
2018-10-09 00:00:00,tuition,19460.0,Tuesday,No Description
2018-10-10 00:00:00,groceries,-80.81,Wednesday,No Description
2018-10-10 00:00:00,groceries,-35.34,Wednesday,No Description
2018-10-10 00:00:00,merchandise,-9.99,Wednesday,Amazon
2018-10-10 00:00:00,merchandise,-1.62,Wednesday,Amazon
2018-10-11 00:00:00,groceries,-89.43,Thursday,No Description
2018-10-12 00:00:00,food,-15.1,Friday,No Description
2018-10-12 00:00:00,merchandise,-7.48,Friday,Amazon
2018-10-12 00:00:00,merchandise,-7.4,Friday,Amazon
2018-10-12 00:00:00,direct deposit,27.95,Friday,No Description
2018-11-01 00:00:00,merchandise,-27.48,Thursday,Amazon
2018-11-01 00:00:00,food,-3.34,Thursday,Coffee
2018-11-01 00:00:00,groceries,-1.0,Thursday,No Description
2018-11-01 00:00:00,direct deposit,137.62,Thursday,No Description
2018-11-02 00:00:00,bills,-1360.0,Friday,Rent
2018-11-02 00:00:00,bills,-1.95,Friday,Rent
2018-11-05 00:00:00,merchandise,-21.33,Monday,Amazon
2018-11-05 00:00:00,merchandise,-17.53,Monday,Amazon
2018-11-05 00:00:00,merchandise,-2.48,Monday,Amazon
2018-11-06 00:00:00,groceries,-40.11,Tuesday,No Description
